# 1060 طبيب

Dr. R Prasada Reddy | AIG Hospitals, Gachibowli Hyderabad | أمراض القلب | Cardiology
Dr. Dilip Raja | Narayana Hospital, Bommasandra Bangalore | جراحة عامة | General Surgery
Dr. Shobha Badiger | Narayana Hospital, Bommasandra Bangalore | أمراض النساء | Gynaecology
Dr. Harish Nanjappa | Narayana Hospital, Bommasandra Bangalore | أمراض الدم | Haematology
Dr. Pradeep Mahajan | Narayana Hospital, Bommasandra Bangalore | الطب الباطني | Internal Medicine
Dr. Ravi Kishore | Narayana Hospital, Bommasandra Bangalore | أمراض القلب التداخلية | Interventional Cardiology
Dr. Ravi Prasad | Narayana Hospital, Bommasandra Bangalore | الأورام الطبية | Medical Oncology
Dr. Roopa K. | Narayana Hospital, Bommasandra Bangalore | حديثي الولادة | Neonatology
Dr. Santosh Benjamin | Narayana Hospital, Bommasandra Bangalore | أمراض الكلى | Nephrology
Dr. Sanjay Desai | Narayana Hospital, Bommasandra Bangalore | طب الأعصاب | Neurology
Dr. Ashwin Borkar | Narayana Hospital, Bommasandra Bangalore | جراحة الأعصاب | Neurosurgery
Dr. Anand Rao | Narayana Hospital, Bommasandra Bangalore | طب العيون | Ophthalmology
Dr. Suresh H. Rao | Narayana Hospital, Bommasandra Bangalore | جراحة العظام | Orthopaedic Surgery
Dr. Gaurav Ganguly | Narayana Hospital, Bommasandra Bangalore | جراحة العظام | Orthopaedics
Dr. Viveka Kumar | Narayana Hospital, Bommasandra Bangalore | أمراض قلب الأطفال | Paediatric Cardiology
Dr. Prabha Adhikari | Narayana Hospital, Bommasandra Bangalore | طب الأطفال | Paediatrics
Dr. R. R. Kasliwal | Narayana Hospital, Bommasandra Bangalore | أمراض القلب الوقائية | Preventive Cardiology
Dr. Rajesh Kumar | Narayana Hospital, Bommasandra Bangalore | الطب النفسي | Psychiatry
Dr. K. R. Suresh | Narayana Hospital, Bommasandra Bangalore | أمراض الصدر | Pulmonology
Dr. Girish Rao | Narayana Hospital, Bommasandra Bangalore | الأشعة | Radiology
Dr. Sanjay Mehrotra | Narayana Hospital, Bommasandra Bangalore | زراعة الكلى | Renal Transplant
Dr. Venkatesh K. | Narayana Hospital, Bommasandra Bangalore | جراحة الأورام | Surgical Oncology
Dr. Rajeev Jayadevan | Narayana Hospital, Bommasandra Bangalore | جراحة المسالك البولية | Urology
Dr. B. C. Srinivasa | Narayana Hospital, Bommasandra Bangalore | جراحة الأوعية الدموية | Vascular Surgery
Dr. Praveena Shenoi | Rainbow Children's Hospital, Marathahalli | نساء وولادة | Clinical Director Obstetrics & Gynecology
Dr. Arvind Shenoi | Rainbow Children's Hospital, Marathahalli | طب الأطفال | Clinical Director Pediatrics
Dr. Chandrashekar Changappa | Rainbow Children's Hospital, Marathahalli | طب الأطفال | Consultant Pediatrician
Dr. Rachana Shilpakar | Rainbow Children's Hospital, Marathahalli | جلدية | Dermatology
Dr. Rajaram G | Rainbow Children's Hospital, Marathahalli | أطفال | General Pediatrics
Dr. Srikanth Kulkarni | Rainbow Children's Hospital, Marathahalli | أطفال | General Pediatrics
Dr. Vinu N | Rainbow Children's Hospital, Marathahalli | أطفال | General Pediatrics
Dr. Plabani Sarkar | Rainbow Children's Hospital, Marathahalli | طب الإنجاب | IVF
Dr. Sandeep R | Rainbow Children's Hospital, Marathahalli | عناية مركزة حديثي الولادة | Neonatal Intensive Care
Dr. Aruna Thangapandy | Rainbow Children's Hospital, Marathahalli | نساء وولادة | Obstetrics & Gynecology
Dr. Meghana Jetty | Rainbow Children's Hospital, Marathahalli | نساء وولادة | Obstetrics, Gynecology & Laparoscopic Surgery
Dr. Supriya Shetty | Rainbow Children's Hospital, Marathahalli | طب العيون | Ophthalmology
Dr. Nandana Bala | Rainbow Children's Hospital, Marathahalli | أمراض الجهاز التنفسي للأطفال | Pediatric Allergy & Respiratory Medicine
Dr. Prabhavathi H B | Rainbow Children's Hospital, Marathahalli | أسنان أطفال | Pediatric Dentistry
Dr. Shilpa H | Rainbow Children's Hospital, Marathahalli | أنف وأذن وحنجرة أطفال | Pediatric ENT
Dr. Rachana G | Rainbow Children's Hospital, Marathahalli | أنف وأذن وحنجرة أطفال / اضطرابات التطور | Pediatric ENT / Development
Dr. Tejasvi Sheshadri | Rainbow Children's Hospital, Marathahalli | غدد أطفال | Pediatric Endocrinology
Dr. Lavenya R P | Rainbow Children's Hospital, Marathahalli | أمراض الجهاز الهضمي والكبد للأطفال | Pediatric Gastroenterology & Hepatology
Dr. V R Nagendra Kumar | Rainbow Children's Hospital, Marathahalli | أمراض الكبد والجهاز الهضمي للأطفال | Pediatric Gastroenterology & Hepatology
Dr. Manojit Chakraborty | Rainbow Children's Hospital, Marathahalli | أورام وزرع نخاع للأطفال | Pediatric Hemato Oncology & Bone Marrow Transplant
Dr. Vasudha N R | Rainbow Children's Hospital, Marathahalli | أورام وزرع نخاع للأطفال | Pediatric Hemato Oncology & Bone Marrow Transplant
Dr. Manu Chaudhary | Rainbow Children's Hospital, Marathahalli | أمراض معدية للأطفال | Pediatric Infectious Diseases
Dr. Deepak R | Rainbow Children's Hospital, Marathahalli | عناية مركزة للأطفال / طب أطفال | Pediatric Intensive Care / General Pediatrics
Dr. Rakshay Shetty | Rainbow Children's Hospital, Marathahalli | عناية مركزة وأطفال عام | Pediatric Intensivist & General Pediatrician
Dr. Saumil Gaur | Rainbow Children's Hospital, Marathahalli | أمراض الكلى للأطفال | Pediatric Nephrology
Dr. N Balamurugan | Rainbow Children's Hospital, Marathahalli | جراحة أعصاب الأطفال | Pediatric Neurology & Neuro Surgery
Dr. Aniruddha Tekkatte Jagannatha | Rainbow Children's Hospital, Marathahalli | جراحة أعصاب الأطفال | Pediatric Neurology & Neurosurgery
Dr. Jayanth Sundar Sampath | Rainbow Children's Hospital, Marathahalli | جراحة عظام الأطفال | Pediatric Orthopedics
Dr. Ruchi Gupta | Rainbow Children's Hospital, Marathahalli | طب نفسي أطفال | Pediatric Psychiatry
Dr. Anupama Menon | Rainbow Children's Hospital, Marathahalli | أمراض الصدر للأطفال | Pediatric Pulmonologist
Dr. Chandrika S Bhat | Rainbow Children's Hospital, Marathahalli | أمراض الروماتيزم للأطفال | Pediatric Rheumatology
Dr. Antony Robert | Rainbow Children's Hospital, Marathahalli | جراحة الأطفال والمسالك | Pediatric Surgery & Pediatric Urology / Laparoscopy
Dr. Shounak Choudhury | Rainbow Children's Hospital, Marathahalli | جراحة الأطفال والمسالك | Pediatric Surgery & Urology
Dr. Priyadarshan K | Rainbow Children's Hospital, Marathahalli | جراحة تجميلية وترميمية | Plastic & Reconstructive Surgery
Dr. Jyoti Singh | Rainbow Children's Hospital, Marathahalli | الأشعة | Radiology
Dr. Krishna Kumar | Rela Hospital, Chennai | التخدير | Anaesthesia
Dr. C. Narasimhan | Rela Hospital, Chennai | كهرباء القلب | Cardiac Electrophysiology
Dr. Murali Mohan B. V. | Rela Hospital, Chennai | جراحة القلب | Cardiac Surgery
Dr. Ravi Mohanka | Rela Hospital, Chennai | جراحة القلب | Cardiac Surgery
Dr. R. Prasada Reddy | Rela Hospital, Chennai | أمراض القلب | Cardiology
Dr. Ramesh Babu | Rela Hospital, Chennai | أمراض القلب | Cardiology
Dr. Sandhya Sundaram | Rela Hospital, Chennai | أمراض القلب | Cardiology
Dr. Vijay Shankar | Rela Hospital, Chennai | جراحة القلب | Cardiothoracic Surgery
Dr. Lakshmi Venkataraman | Rela Hospital, Chennai | التغذية الإكلينيكية | Clinical Nutrition
Dr. Rohit Vadala | Rela Hospital, Chennai | العناية المركزة | Critical Care
Dr. Sandhya Rajagopal | Rela Hospital, Chennai | الأمراض الجلدية | Dermatology
Dr. Raghavan Varadarajan | Rela Hospital, Chennai | الأنف والأذن والحنجرة | ENT
Dr. Kavitha Rajagopalan | Rela Hospital, Chennai | طب الطوارئ | Emergency Medicine
Dr. Sundeep Lakhtakia | Rela Hospital, Chennai | المناظير | Endoscopy & EUS
Dr. Suresh Kumar | Rela Hospital, Chennai | طب الأسرة | Family Medicine
Dr. D. Nageshwar Reddy | Rela Hospital, Chennai | الجهاز الهضمي | Gastroenterology
Dr. Seema Rao | Rela Hospital, Chennai | أمراض النساء | Gynaecology
Dr. Ashwin Rammohan | Rela Hospital, Chennai | جراحة الكبد | HPB Surgery
Dr. Niranjan Rao | Rela Hospital, Chennai | أمراض الدم | Haematology
Dr. Anil Arora | Rela Hospital, Chennai | أمراض الكبد | Hepatology
Dr. Dinesh Jothimani | Rela Hospital, Chennai | أمراض الكبد | Hepatology
Dr. P. Nagaraja Rao | Rela Hospital, Chennai | أمراض الكبد | Hepatology
Dr. Sanjay Kumar Yadav | Rela Hospital, Chennai | أمراض الكبد | Hepatology
Dr. Rupa Banerjee | Rela Hospital, Chennai | أمراض الأمعاء الالتهابية | IBD Specialist
Dr. Harish Kumar | Rela Hospital, Chennai | الطب الباطني | Internal Medicine
Dr. Naveen Reddy Podduturi | Rela Hospital, Chennai | الطب الباطني | Internal Medicine
Dr. Mohan Ramchandani | Rela Hospital, Chennai | المناظير | Interventional Endoscopy
Dr. Rohan Arora | Rela Hospital, Chennai | الأشعة التداخلية | Interventional Radiology
Dr. Mettu Srinivas Reddy | Rela Hospital, Chennai | تخدير زراعة الأعضاء | Liver Transplant Anaesthesia
Dr. Ilankumaran Kaliamurthy | Rela Hospital, Chennai | جراحة الكبد | Liver Transplant Surgery
Dr. P. Balachandran Menon | Rela Hospital, Chennai | زراعة الكبد | Liver Transplant Surgery
Dr. Mohamed Rela | Rela Hospital, Chennai | زراعة الكبد | Liver Transplantation
Dr. Prashant Bhangui | Rela Hospital, Chennai | زراعة الكبد | Liver Transplantation
Dr. G. V. Rao | Rela Hospital, Chennai | الجراحة طفيفة التوغل | Minimally Invasive Surgery
Dr. Bindu Garg | Rela Hospital, Chennai | حديثي الولادة | Neonatology
Dr. Vikram Venkateswaran | Rela Hospital, Chennai | أمراض الكلى | Nephrology
Dr. Sankar Narayanan | Rela Hospital, Chennai | طب الأعصاب | Neurology
Dr. Jayaraman Kumaravelu | Rela Hospital, Chennai | جراحة الأعصاب | Neurosurgery
Dr. Padmini Ramesh | Rela Hospital, Chennai | طب العيون | Ophthalmology
Dr. R. Ravi | Rela Hospital, Chennai | جراحة العظام | Orthopaedics
Dr. Gomathy Narasimhan | Rela Hospital, Chennai | أمراض الكبد للأطفال | Paediatric Hepatology
Dr. Joy Varghese | Rela Hospital, Chennai | جراحة الأطفال | Paediatric Surgery
Dr. Anand Kumar | Rela Hospital, Chennai | طب الأطفال | Paediatrics
Dr. Mohan Rajesh | Rela Hospital, Chennai | جراحة التجميل | Plastic Surgery
Dr. Sujatha Siddappa | Rela Hospital, Chennai | الطب النفسي | Psychiatry
Dr. Pradeep Rangappa | Rela Hospital, Chennai | أمراض الصدر | Pulmonology
Dr. Vijayalakshmi Balasubramanian | Rela Hospital, Chennai | الأشعة | Radiology
Dr. Somashekhar S. P. | Rela Hospital, Chennai | جراحة الأورام | Surgical Oncology
Dr. Arvind Kumar | Rela Hospital, Chennai | جراحة الصدر | Thoracic Surgery
Dr. Anand Alur | Rela Hospital, Chennai | جراحة المسالك البولية | Urology
Dr. Subramaniam Venkatesh | Rela Hospital, Chennai | جراحة الأوعية الدموية | Vascular Surgery
Dr. Chaithannya N S | SPARSH Hospital, Hennur Road | تخدير | Anaesthesiology
Dr. Deepa Chandran | SPARSH Hospital, Hennur Road | تخدير | Anaesthesiology
Dr. Anand Kumar K | SPARSH Hospital, Hennur Road | زرع نخاع العظم | Bone Marrow Transplant
Dr. Anand K | SPARSH Hospital, Hennur Road | جراحة تجميلية وعلاج تجميلي | Cosmetology & Cosmetic Surgery
Dr. Chetan Dev K | SPARSH Hospital, Hennur Road | الغدد الصماء والسكري | Endocrinology & Diabetology
Dr. Deepanju D Changkakoti | SPARSH Hospital, Hennur Road | طب الأسرة | Family Medicine
Dr. Anto Gnana Delasalle M | SPARSH Hospital, Hennur Road | أمراض الجهاز الهضمي | Gastroenterology
Dr. Praveen Mathew | SPARSH Hospital, Hennur Road | أمراض الجهاز الهضمي | Gastroenterology
Dr. Deepmala Karmakar | SPARSH Hospital, Hennur Road | أشعة تداخلية | Interventional Radiology
Dr. Ann Agnes Mathew | SPARSH Hospital, Hennur Road | طب الأعصاب | Neuroscience / Neurology
Dr. Avinash Lakha | SPARSH Hospital, Hennur Road | طب الأعصاب | Neuroscience / Neurology
Dr. Arpi Sagar Lodha | SPARSH Hospital, Hennur Road | نساء وولادة | Obstetrics & Gynaecology
Dr. Linu Abraham Jacob | SPARSH Hospital, Hennur Road | طب الأورام | Oncology
Dr. Abhijit Chavan | SPARSH Hospital, Hennur Road | جراحة العظام | Orthopaedics
Dr. Chaynika Agarwal | SPARSH Hospital, Hennur Road | أشعة | Radiology
Dr. Abhilash V | SPARSH Hospital, Hennur Road | جراحة الأوعية الدموية | Vascular & Endovascular Surgery
Dr. Ranjan Shetty | SPARSH Hospital, Infantry Road | أمراض القلب | Cardiac Sciences
Dr. Anand K | SPARSH Hospital, Infantry Road | جراحة تجميلية وعلاج تجميلي | Cosmetology & Cosmetic Surgery
Dr. Kishan Nag | SPARSH Hospital, Infantry Road | جراحة الأسنان | Dental Surgery
Dr. Aditi Ravindra | SPARSH Hospital, Infantry Road | أنف وأذن وحنجرة | ENT
Dr. Sanjana Rai | SPARSH Hospital, Infantry Road | طب عام وباطنة | General Medicine
Dr. Abhinay Indrakumar Reddy | SPARSH Hospital, Infantry Road | جراحة الرأس والرقبة | Head & Neck Surgery
Dr. Deepmala Karmakar | SPARSH Hospital, Infantry Road | أشعة تداخلية | Interventional Radiology
Dr. Arun | SPARSH Hospital, Infantry Road | زراعة الكبد وجراحة الكبد والبنكرياس | Liver Transplant & HPB Surgery
Dr. Dinesh Kumar | SPARSH Hospital, Infantry Road | أمراض الكلى والمسالك | Nephrology & Urology
Dr. Divyashree Bhat | SPARSH Hospital, Infantry Road | أمراض الكلى والمسالك | Nephrology & Urology
Dr. Arvind Bhateja | SPARSH Hospital, Infantry Road | طب الأعصاب | Neuroscience / Neurology
Dr. Chirag Jain | SPARSH Hospital, Infantry Road | طب الأعصاب | Neuroscience / Neurology
Dr. Deepthi Bawa | SPARSH Hospital, Infantry Road | نساء وولادة | Obstetrics & Gynaecology
Dr. Geeth Monnappa | SPARSH Hospital, Infantry Road | نساء وولادة | Obstetrics & Gynaecology
Dr. Linu Abraham Jacob | SPARSH Hospital, Infantry Road | طب الأورام | Oncology
Dr. Sharan Shivaraj Patil | SPARSH Hospital, Infantry Road | جراحة العظام | Orthopaedics
Dr. Abram Harsha Vardhan | SPARSH Hospital, Infantry Road | طب الأطفال | Paediatrics
Dr. Gaurang Sudhir Deshpande | SPARSH Hospital, Infantry Road | أمراض الروماتيزم | Rheumatology
Dr. Dhananjay D. N. | Sakra World Hospital, Bangalore | تخدير | Anaesthesiology
Dr. Shishir Chandrashekhar | Sakra World Hospital, Bangalore | تخدير | Anaesthesiology
Dr. Nanda Rajaneesh | Sakra World Hospital, Bangalore | جراحة سمنة وثدي وجهاز هضمي | Bariatric, Breast & Surgical Gastroenterology
Dr. Sunil Kumar N. K. | Sakra World Hospital, Bangalore | تخدير قلبي | Cardiac Anaesthesiology
Dr. Bharat Raj | Sakra World Hospital, Bangalore | الفيزيولوجيا الكهربائية للقلب | Cardiac Electrophysiology
Dr. Adil Sadiq | Sakra World Hospital, Bangalore | جراحة القلب والصدر والأوعية | Cardio Thoracic & Vascular Surgery (CTVS)
Dr. Srikanth | Sakra World Hospital, Bangalore | أمراض القلب | Cardiology
Dr. Anand Bandachar Mamdapur | Sakra World Hospital, Bangalore | العناية المركزة | Critical Care Medicine
Dr. Divya Hirolli | Sakra World Hospital, Bangalore | العناية المركزة | Critical Care Medicine
Dr. Sandeep Anehosur | Sakra World Hospital, Bangalore | العناية المركزة | Critical Care Medicine
Dr. Shashidhar B. G | Sakra World Hospital, Bangalore | العناية المركزة | Critical Care Medicine
Dr. A. Chris Deepak | Sakra World Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Akshay Shetty | Sakra World Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Deepak Pathak | Sakra World Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Swati Vishwakarma | Sakra World Hospital, Bangalore | طب الأسنان | Dental Surgery
Dr. Priyanka Dutta | Sakra World Hospital, Bangalore | طب الأسنان | Dentistry
Dr. Dali Chandran | Sakra World Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Shantanu Tandon | Sakra World Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sadiq Saleem Sikora | Sakra World Hospital, Bangalore | جراحة الجهاز الهضمي وزراعة الكبد | GI Surgery & Liver Transplant
Dr. Lawrence Peter | Sakra World Hospital, Bangalore | أمراض الجهاز الهضمي | Gastroenterology
Dr. Akshay Deshpande | Sakra World Hospital, Bangalore | جهاز هضمي وكبد | Gastroenterology & Hepatology
Dr. Amruthesh T. M. | Sakra World Hospital, Bangalore | جهاز هضمي وكبد | Gastroenterology & Hepatology
Dr. Honey Ashok | Sakra World Hospital, Bangalore | جراحة أورام الرأس والرقبة | Head & Neck Onco-Surgery
Dr. Sreekanth B. Shetty | Sakra World Hospital, Bangalore | أمراض القلب التداخلي | Interventional Cardiology
Dr. Vineet Gupta | Sakra World Hospital, Bangalore | أورام باطنية وأمراض دم | Medical Oncology & Haematology
Dr. Sushma Rani | Sakra World Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. Amit Kulkarni | Sakra World Hospital, Bangalore | طب الأعصاب والسكتات | Neurology & Stroke
Dr. Alok Mohan Uppar | Sakra World Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Arjun Srivatsa | Sakra World Hospital, Bangalore | جراحة المخ والأعصاب | Neurosurgery
Dr. Lakshmi Mahesh | Sakra World Hospital, Bangalore | تجميل عيون/قناة دمعية | Oculoplastic & Lacrimal Surgery
Dr. Chandrashekar | Sakra World Hospital, Bangalore | جراحة العظام والمفاصل | Orthopedic & Joint Surgery
Dr. Adarsh Babu K | Sakra World Hospital, Bangalore | جراحة العظام | Orthopedics
Dr. Anil Kumar Pura Lingegowda | Sakra World Hospital, Bangalore | جراحة الأطفال | Paediatric Surgery
Dr. Apoorva Gudadhe | Sakra World Hospital, Bangalore | أسنان أطفال | Pediatric Dentistry
Dr. Anil Kumar | Sakra World Hospital, Bangalore | جراحة الأطفال | Pediatric Surgery
Dr. Rajendra S. Gujjalanavar | Sakra World Hospital, Bangalore | جراحة تجميلية وترميمية | Plastic & Reconstructive Surgery
Dr. Sachin Kumar | Sakra World Hospital, Bangalore | أمراض الصدر | Pulmonology
Dr. Ajay Handa | Sakra World Hospital, Bangalore | أمراض الصدر والعناية المركزة | Pulmonology & Critical Care
Dr. Arjunsa H. Satapute | Sakra World Hospital, Bangalore | أمراض الصدر واضطرابات النوم | Pulmonology & Sleep Medicine
Dr. Anisha S. Tandon | Sakra World Hospital, Bangalore | أشعة | Radiology
Dr. B. Premsai Reddy | Sakra World Hospital, Bangalore | أشعة وتصوير تشخيصي | Radiology & Imaging
Dr. Sonali Sethi | Sakra World Hospital, Bangalore | أشعة وتصوير تشخيصي | Radiology & Imaging
Dr. Suresh V | Sakra World Hospital, Bangalore | أشعة وتصوير تشخيصي | Radiology & Imaging
Dr. Y. Trishul Shetty | Sakra World Hospital, Bangalore | أشعة وتصوير تشخيصي | Radiology & Imaging
Dr. Banarji | Sakra World Hospital, Bangalore | جراحة الكتف | Shoulder Surgery
Dr. A Mohan Kumar | Sankara Eye Hospital, Bengaluru | تخدير | Anaesthesiology
Dr. Alluri Suneetha | Sankara Eye Hospital, Bengaluru | تخدير | Anaesthesiology
Dr. Kambhampati Chakrapani | Sankara Eye Hospital, Bengaluru | تخدير | Anaesthesiology
Dr. Narmadha | Sankara Eye Hospital, Bengaluru | تخدير | Anaesthesiology
Dr. Ajitha S | Sankara Eye Hospital, Bengaluru | كتاراكت وجلوكوما | Cataract & Glaucoma
Dr. Meena G Menon | Sankara Eye Hospital, Bengaluru | كتاراكت وجلوكوما | Cataract & Glaucoma
Dr. S. Ajitha | Sankara Eye Hospital, Bengaluru | كتاراكت وجلوكوما | Cataract & Glaucoma
Dr. Srilakshmi Sikhakoli | Sankara Eye Hospital, Bengaluru | كتاراكت وجلوكوما | Cataract & Glaucoma
Dr. Jayamadhury Gudimetla | Sankara Eye Hospital, Bengaluru | كتاراكت وشبكية طبية | Cataract & Medical Retina
Dr. Y. Umesh | Sankara Eye Hospital, Bengaluru | كتاراكت وتصحيح البصر | Cataract & Refractive Services
Dr. Anand Balasubramaniam | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Service
Dr. Haritha Veluri | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Services
Dr. Jagadeesh Kumar Reddy K | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Services
Dr. Madhuri V | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Services
Dr. Shashidhar Banigallapati | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Services
Dr. Nisha Ahuja | Sankara Eye Hospital, Bengaluru | كتاراكت وقرنية وتصحيح البصر | Cataract, Cornea & Refractive Surgery
Dr. Minija C K | Sankara Eye Hospital, Bengaluru | كتاراكت وشبكية طبية وقزحية | Cataract, Medical Retina & UVEA Services
Dr. Sudhakar Potti | Sankara Eye Hospital, Bengaluru | قرنية وتصحيح البصر | Cornea & Refractive Services
Dr. Vandhana Sundaram | Sankara Eye Hospital, Bengaluru | قرنية | Cornea (Registrar – Cornea)
Dr. Prabhu Vijayaraghavan | Sankara Eye Hospital, Bengaluru | خدمات القرنية | Cornea Services
Dr. Pallavi Joshi | Sankara Eye Hospital, Bengaluru | قرنية وسطح العين وتصحيح البصر | Cornea, Ocular Surface & Refractive Services
Dr. Anandhi R | Sankara Eye Hospital, Bengaluru | عيادة عامة | General OPD (ENT)
Dr. Renukadevi N K | Sankara Eye Hospital, Bengaluru | عيادات عامة | General OPD (ENT)
Dr. Anees Fatima Mohammed | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Anuradha Kakumanu | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Hitendrasinh Parmar | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Kanakamedala Bhargavi Lakshmi | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Kesana Udaya Sankar | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Shalini G | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Vijayabhaskar Gajjala | Sankara Eye Hospital, Bengaluru | طب العيون العام | General Ophthalmology
Dr. Nidhi Dubey | Sankara Eye Hospital, Bengaluru | عيون عامة وشبكية طبية وقزحية | General Ophthalmology, Medical Retina & UVEA
Dr. Lalitha K J | Sankara Eye Hospital, Bengaluru | جلوكوما | Glaucoma
Dr. Malleswari Medikonda | Sankara Eye Hospital, Bengaluru | جلوكوما | Glaucoma
Dr. Nishitha M.S | Sankara Eye Hospital, Bengaluru | جلوكوما | Glaucoma
Dr. Geetha G | Sankara Eye Hospital, Bengaluru | شبكية طبية | Medical Retina
Dr. Swathi Padma Kanchana | Sankara Eye Hospital, Bengaluru | شبكية طبية | Medical Retina
Dr. Shruthi Tara | Sankara Eye Hospital, Bengaluru | محجر العين | Orbit & Oculoplasty
Dr. Sowjanya Yerra | Sankara Eye Hospital, Bengaluru | محجر العين | Orbit & Oculoplasty
Dr. Shashidhar V S | Sankara Eye Hospital, Bengaluru | أورام وجراحة محجر العين | Orbit, Oculoplasty & Ocular Oncology
Dr. Kaushik Murali | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Madhulika Ladha | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Nambula Srinivasa Rao | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Rajesh Prabu | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Vankireddi Mahathi | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Vidhya C | Sankara Eye Hospital, Bengaluru | عيون أطفال | Paediatric Ophthalmology
Dr. Sowmya R | Sankara Eye Hospital, Bengaluru | عيون أطفال وحول | Paediatric Ophthalmology & Strabismus
Dr. Mugundan M.S | Sankara Eye Hospital, Bengaluru | شبكية | Retinal Services
Dr. Divyansh K Mishra | Sankara Eye Hospital, Bengaluru | أورام عينية وشبكية | VR Ocular Oncology & Vitreoretinal Services
Dr. Mahesh Shanmugham P | Sankara Eye Hospital, Bengaluru | أورام عينية وشبكية | VR Ocular Oncology & Vitreoretinal Services
Dr. Rajesh R. | Sankara Eye Hospital, Bengaluru | أورام عينية وشبكية | VR Ocular Oncology & Vitreoretinal Services
Dr. Birva Dave | Sankara Eye Hospital, Bengaluru | شبكية | Vitreoretina
Dr. Payal Naresh Shah | Sankara Eye Hospital, Bengaluru | أورام عينية وشبكية | Vitreoretina & Ocular Oncology
Dr. Ashok Kanakamedala | Sankara Eye Hospital, Bengaluru | شبكية | Vitreoretinal Services
Dr. M. Prabhu Shankar | Sankara Eye Hospital, Bengaluru | شبكية | Vitreoretinal Services
Dr. Madhu Kumar R | Sankara Eye Hospital, Bengaluru | شبكية | Vitreoretinal Services
Dr. V. Devi Priya | Sankara Eye Hospital, Bengaluru | شبكية | Vitreoretinal Services
Dr. Rajalakshmi | Trilife Hospital, Bangalore | تخدير | Anaesthesia
Dr. Tameem Ahmed | Trilife Hospital, Bangalore | جراحة القلب | Cardiac Surgery
Dr. Aishwarya | Trilife Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Sharath G | Trilife Hospital, Bangalore | أنف وأذن وحنجرة | ENT
Dr. Atif Ahmed | Trilife Hospital, Bangalore | أمراض الجهاز الهضمي | Gastroenterology
Dr. Bhushan | Trilife Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Shamna Mahmood Abdulla | Trilife Hospital, Bangalore | جراحة عامة | General Surgery
Dr. Aditya S Chowti | Trilife Hospital, Bangalore | الطب الباطني | Internal Medicine
Dr. Raghavendra N | Trilife Hospital, Bangalore | أمراض الكلى | Nephrology
Dr. H Santosh | Trilife Hospital, Bangalore | طب الأعصاب | Neurology
Dr. Usha M R | Trilife Hospital, Bangalore | نساء وولادة | OBG (Gynaecology & Obstetrics)
Dr. Prashanth R | Trilife Hospital, Bangalore | جراحة العظام | Orthopaedics
Dr. Adarsh G | Trilife Hospital, Bangalore | طب باطني | Physician / Internal Medicine
Dr. Raghavendra H | Trilife Hospital, Bangalore | أمراض الروماتيزم | Rheumatology
Dr. Siddaling Ladde | Trilife Hospital, Bangalore | جراحة المسالك البولية | Urology
Dr. Hari Menon | St. John's Medical College Hospital, Bangalore | أورام دموية وطبية | Haematology and Medical Oncology
Dr. Annie Kanchan Baa | St. John's Medical College Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Ganesha | St. John's Medical College Hospital, Bangalore | أورام طبية | Medical Oncology
Dr. Vandana Bharadwaj | St. John's Medical College Hospital, Bangalore | أورام دموية أطفال وزراعة نخاع العظم | Pediatric Hemat Oncology & Bone Marrow Transplant
